fam	gene	chrom	start	end	n_prim	n_giant_intron	max_intron_kb	mischain_frac
ID_131	AC105272.1	chr1	103516936	103517135	4	4	182	1.00
ID_226	H3P4	chr1	121127576	121127993	13	0	27	0.00
ID_213	AC239809.1	chr1	146572932	146573150	5	0	29	0.00
ID_213	AC245407.1	chr1	148346520	148348932	8	1	93	0.12
ID_63	ANAPC1P1	chr2	86863741	86914950	43	0	40	0.00
ID_63	ANAPC1P3	chr2	87123762	87126211	3	2	122	0.67
ID_63	ANAPC1P5	chr2	87992304	88004460	17	6	167	0.35
ID_251	ANKRD36B	chr2	97950885	98048181	4361	9	351	0.00
ID_146	AC233280.19	chr3	198342015	198343130	12	0	28	0.00
ID_313	CDH12P1	chr5	70901860	70902156	188	52	510	0.28
ID_313	CDH12P3	chr5	71589693	71589989	225	166	258	0.74
ID_35	AC008443.6	chr5	181851743	181855644	69	1	83	0.01
ID_407	TRIM74	chr7	74187708	74197691	105	12	324	0.11
ID_402	NCF1B	chr7	74420835	74436153	15	14	384	0.93
ID_402	NCF1	chr7	75976253	75991692	44	20	235	0.45
ID_208	CASTOR2	chr7	76167037	76233789	149	11	387	0.07
ID_402	NCF1C	chr7	76360590	76375995	17	8	387	0.47
ID_338	DEFB108C	chr8	7102093	7106486	17	0	38	0.00
ID_338	DEFB108D	chr8	7634987	7639336	10	1	177	0.10
ID_261	AL513478.3	chr9	40182305	40186244	6	0	9	0.00
ID_260	AL513478.2	chr9	40202700	40208822	22	0	22	0.00
ID_348	DUX4L50	chr9	47737220	47737936	3	0	0	0.00
ID_260	MEP1AP1	chr9	77952010	77958144	71	1	205	0.01
ID_261	AL773545.4	chr9	77974578	77978517	4	1	205	0.25
ID_332	FO538757.1	chr11	3740	5220	13	0	1	0.00
ID_43	TRIM64	chr11	89888639	89894223	7	1	106	0.14
ID_411	OR11H13P	chr14	13493444	13494424	18	1	68	0.06
ID_148	AC126603.1	chr15	18136928	18186041	50	13	176	0.26
ID_481	UBE2Q2P8	chr15	82169947	82170050	32	26	242	0.81
ID_302	BOLA2B	chr16	29735379	29736755	445	219	141	0.49
ID_148	AC142384.1	chr16	34884759	34929924	30	23	259	0.77
ID_222	AC243829.6	chr17	37415116	37415223	6	5	145	0.83
ID_175	TEKT4P2	chr21	5692610	5754003	72	24	137	0.33
ID_175	AC134878.2	chr22	5801017	5862418	466	14	134	0.03
