family_id	tid	chrom	start	end	strand	n_exon	support	core_recip	introns
DSFAM239	RC_NC_073228.2_54400031_14	NC_073228.2	54400031	54411025	-	14	2	1.0	54400959-54401940;54402093-54402463;54402563-54403026;54403092-54403476;54403571-54404284;54404405-54404930;54404979-54406231;54406341-54406671;54406779-54407222;54407303-54407785;54407825-54409111;54409194-54409356;54409429-54410876
DSFAM102	RC_NC_073248.2_34757175_6	NC_073248.2	34757175	34759904	-	6	2	1.0	34757387-34758082;34758164-34758271;34758417-34758518;34758630-34758762;34758840-34759447
DSFAM775	RC_NC_073248.2_42899568_16	NC_073248.2	42899568	42945549	+	16	2	1.0	42899586-42900976;42901048-42903413;42903485-42905801;42905873-42908342;42908414-42910722;42910794-42913146;42913218-42915712;42915784-42918091;42918163-42920567;42920639-42928983;42929055-42931385;42931457-42934103;42934175-42934918;42934953-42939531;42939630-42943604
DSFAM231	RC_NC_073233.2_97933977_8	NC_073233.2	97933977	97944525	+	8	1	0.999	97934102-97935484;97935674-97938264;97938679-97938964;97939060-97940815;97941046-97941759;97941782-97942657;97942755-97943851
DSFAM95	RC_NC_086018.1_22520079_8	NC_086018.1	22520079	22539548	-	8	1	0.923	22521559-22523420;22523583-22525111;22525246-22526295;22526435-22527695;22527805-22528641;22528701-22538974;22539033-22539484
DSFAM231	RC_NC_073233.2_97694408_7	NC_073233.2	97694408	97729097	-	7	1	0.923	97695082-97696171;97696269-97697419;97697442-97698153;97698384-97700152;97700248-97700513;97700928-97728983
DSFAM231	RC_NC_073233.2_97673618_7	NC_073233.2	97673618	97683826	-	7	1	0.91	97674283-97675370;97675468-97676328;97676351-97677051;97677282-97679005;97679101-97679385;97679800-97680722
DSFAM231	RC_NC_073233.2_97773552_7	NC_073233.2	97773552	97781900	-	7	1	0.907	97774217-97775306;97775404-97776270;97776293-97776994;97777225-97778962;97779058-97779337;97779752-97780962
DSFAM239	RC_NC_073228.2_54882442_11	NC_073228.2	54882442	54891829	+	11	1	0.871	54884083-54884565;54884646-54885089;54885197-54885527;54885637-54886889;54886938-54887463;54887584-54888297;54888392-54888776;54888842-54889305;54889405-54889775;54889928-54890909
DSFAM86	RC_NC_073236.2_24584475_13	NC_073236.2	24584475	24682730	-	13	1	0.87	24585706-24585851;24585977-24586126;24586211-24639583;24639637-24650880;24650937-24653598;24653707-24663274;24663394-24665465;24665595-24678799;24679012-24680285;24680351-24680858;24680968-24682284;24682449-24682690
DSFAM5	RC_NC_073224.2_136222076_11	NC_073224.2	136222076	136230961	-	11	1	0.861	136222296-136223614;136223740-136223851;136223970-136225954;136226054-136226148;136226271-136227090;136227224-136227965;136228196-136228644;136228842-136229648;136229795-136230140;136230354-136230707
DSFAM716	RC_NC_073240.2_86292888_4	NC_073240.2	86292888	86297534	-	4	2	0.859	86295809-86296019;86296120-86297157;86297218-86297484
DSFAM54	RC_NC_073243.2_25799469_40	NC_073243.2	25799469	25828067	-	40	1	0.835	25799746-25801407;25801503-25801625;25801730-25801813;25801984-25802082;25802208-25802788;25802992-25803079;25803388-25803545;25803670-25803772;25803938-25804014;25804198-25804928;25805125-25805267;25805386-25806077;25806204-25807017;25807407-25807489;25807580-25807663;25807809-25807891;25808068-25808159;25808402-25809979;25810235-25811632;25811769-25811856;25811980-25813421;25813539-25813626;25813714-25814880;25814957-25815583;25815893-25816015;25816186-25817558;25817708-25817797;25817916-25818281;25818420-25818945;25819049-25821231;25821330-25821454;25821518-25822067;25822160-25822258;25822373-25822456;25822484-25823698;25823855-25825854;25825998-25826096;25826320-25827754;25827797-25828014
DSFAM31	RC_NC_073238.2_24804471_2	NC_073238.2	24804471	24806985	-	2	1	0.834	24805369-24806801
DSFAM716	RC_NC_073240.2_86480831_3	NC_073240.2	86480831	86485338	+	3	1	0.825	86481069-86482106;86482207-86482417
DSFAM147	RC_NC_073244.2_68309808_5	NC_073244.2	68309808	68317938	+	5	1	0.814	68310875-68314271;68314782-68315541;68315745-68316520;68316671-68316936
DSFAM37	RC_NC_073242.2_85802825_3	NC_073242.2	85802825	85804151	+	3	1	0.806	85802941-85803533;85803599-85803921
DSFAM95	RC_NC_086018.1_22371802_7	NC_086018.1	22371802	22391271	-	7	2	0.797	22373284-22375145;22375308-22376836;22376971-22378020;22378160-22379420;22379530-22380366;22380416-22390691
DSFAM36	RC_NC_073229.2_20844489_4	NC_073229.2	20844489	20847758	-	4	2	0.795	20845801-20846148;20846259-20846550;20846659-20847476
DSFAM54	RC_NC_073239.2_33241165_25	NC_073239.2	33241165	33258509	+	25	1	0.784	33241753-33242882;33242953-33243238;33243326-33243415;33243533-33243678;33243802-33244088;33244225-33246176;33246432-33246591;33246834-33246981;33247158-33247442;33247588-33247847;33247938-33250052;33250442-33250779;33250906-33250991;33251110-33251445;33251642-33252162;33252346-33252577;33252743-33252847;33252972-33253877;33254186-33254375;33254579-33255466;33255592-33255790;33256066-33257179;33257275-33257937;33258072-33258435
DSFAM273	RC_NC_073245.2_36300941_4	NC_073245.2	36300941	36336506	-	4	1	0.78	36303109-36314639;36314817-36320368;36320487-36336189
DSFAM882	RC_NC_073242.2_3798324_3	NC_073242.2	3798324	3799186	+	3	1	0.775	3798475-3798592;3798797-3798947
DSFAM882	RC_NC_073242.2_3771193_3	NC_073242.2	3771193	3772963	+	3	1	0.71	3771363-3772345;3772550-3772724
DSFAM44	RC_NC_073234.2_49052967_9	NC_073234.2	49052967	49059955	+	9	2	0.68	49054761-49055578;49055787-49056590;49056651-49057410;49057506-49057719;49057884-49058146;49058272-49058545;49058766-49059046;49059078-49059375
DSFAM37	RC_NC_073242.2_85752379_3	NC_073242.2	85752379	85753820	+	3	1	0.679	85752583-85753169;85753235-85753583
DSFAM8	RC_NC_073244.2_55983508_2	NC_073244.2	55983508	55988252	-	2	1	0.668	55983968-55986326
DSFAM37	RC_NC_073242.2_85768415_3	NC_073242.2	85768415	85770289	+	3	1	0.649	85769056-85769649;85769715-85770062
DSFAM63	RC_NC_086018.1_30208648_4	NC_086018.1	30208648	30223066	-	4	1	0.625	30209561-30211120;30211411-30220525;30220746-30222899
DSFAM37	RC_NC_073242.2_85799772_3	NC_073242.2	85799772	85801378	-	3	1	0.608	85800002-85800343;85800409-85800995
DSFAM174	RC_NC_073247.2_67140263_2	NC_073247.2	67140263	67145391	-	2	158	0.588	67144382-67144639
DSFAM102	RC_NC_073248.2_34924334_4	NC_073248.2	34924334	34933895	-	4	1	0.577	34925672-34932285;34932396-34932524;34932602-34933208
DSFAM71	RC_NC_073242.2_84880767_15	NC_073242.2	84880767	84913670	+	15	2	0.567	84880918-84884903;84885108-84887579;84887724-84890167;84890301-84892553;84892707-84893597;84893705-84896990;84897095-84899902;84899941-84903805;84903946-84905170;84905221-84905817;84905898-84906161;84906309-84910732;84910864-84912923;84912996-84913292
DSFAM10	RC_NC_073247.2_161280183_7	NC_073247.2	161280183	161346580	+	7	1	0.559	161280399-161281364;161281431-161341105;161341188-161342459;161342572-161343794;161343890-161344917;161344991-161345066
DSFAM44	RC_NC_073234.2_48856541_9	NC_073234.2	48856541	48861526	+	9	1	0.522	48856619-48856969;48857184-48857533;48857594-48857749;48857845-48857969;48858134-48858634;48858760-48860153;48860374-48860598;48860633-48860746
DSFAM238	RC_NC_073247.2_58510078_8	NC_073247.2	58510078	58520983	-	8	1	0.521	58510663-58511125;58511230-58513619;58513755-58515741;58515791-58517622;58517718-58518380;58518495-58518925;58519014-58520941
DSFAM231	RC_NC_073233.2_97834991_7	NC_073233.2	97834991	97847411	-	7	2	0.517	97835696-97836804;97836902-97838058;97838081-97838792;97839023-97840779;97840875-97841140;97841555-97844222
DSFAM44	RC_NC_073234.2_48508057_10	NC_073234.2	48508057	48522395	+	10	1	0.515	48508325-48509884;48510056-48512215;48512436-48513547;48513608-48513721;48513817-48519476;48519641-48519826;48519952-48520602;48520823-48521463;48521498-48521766
