gene	family	gene_annot	ci_chrom	ci_start	ci_end	cj_chrom	cj_start	cj_end	ci_member	cj_member	touches_gene_copy	gene_to_paralog_edge	shared_18mer	shared_15mer	shared_13mer	shared_11mer	minimizer_share	core_recip	aln_frac	shipped_proposes	loosened_proposes	passes_scoring
LOC101141440	21	NC_073232.2:99608839-99618116	NC_073232.2	92105557	92238799	NC_073232.2	99595955	99747746	DN_NC_073232.2_92223069_5	DN_NC_073232.2_99722497_5	1	1	2019	2040	2054	2065	410	0.926	0.9908	1	1	1
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	29962908	29994153	NC_073238.2	32266743	32352771	DN_NC_073238.2_29962908_11	DN_NC_073238.2_32266743_7	0	0	589	592	594	599	130	0.0203	0.3001	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	29962908	29994153	NC_073238.2	33425477	33511623	DN_NC_073238.2_29962908_11	DN_NC_073238.2_33425477_7	0	0	589	592	594	599	130	0.0203	0.3001	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	29962908	29994153	NC_073240.2	20415301	20547757	DN_NC_073238.2_29962908_11	DN_NC_073240.2_20543122_2	0	0	0	0	0	1	0	0.0386	0.0	0	0	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	29962908	29994153	NC_073240.2	21107958	21229369	DN_NC_073238.2_29962908_11	DN_NC_073240.2_21107958_3	1	1	0	0	1	8	0	0.0367	0.0	0	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	29962908	29994153	NC_073240.2	22123280	22183941	DN_NC_073238.2_29962908_11	DN_NC_073240.2_22123280_6	0	0	0	0	0	7	0	0.0317	0.0	0	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	29962908	29994153	NC_073240.2	24224495	24300314	DN_NC_073238.2_29962908_11	DN_NC_073240.2_24224495_7	0	0	488	506	518	535	115	0.0208	0.3001	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	32266743	32352771	NC_073238.2	33425477	33511623	DN_NC_073238.2_32266743_7	DN_NC_073238.2_33425477_7	0	0	5311	5332	5344	5333	1120	0.9969	0.9969	1	1	1
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	32266743	32352771	NC_073240.2	20415301	20547757	DN_NC_073238.2_32266743_7	DN_NC_073240.2_20415301_4	0	0	224	242	259	298	52	0.0675	0.0675	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	32266743	32352771	NC_073240.2	21107958	21229369	DN_NC_073238.2_32266743_7	DN_NC_073240.2_21107958_3	1	1	223	240	254	286	53	0.1082	0.1082	1	1	0
