Node,Colour
L~chrX_147847404_147853231,#34a853
L~chrX_147951771_147957050,#34a853
L~chrX_148047652_148053473,#34a853
L~chrX_150181730_150191399,#34a853
L~chrX_150399384_150404635,#34a853
L~chrX_150965292_150968920,#34a853
L~chrX_151032688_151036482,#34a853
L~chrX_25725472_25728073,#ff6d01
L~chrX_29807852_29812991,#ff6d01
L~chrX_29836044_29844402,#ff6d01
RB~MAGEA~0,#f06292
RB~MAGEA~1,#f06292
RB~MAGEA~2,#f06292
RB~MAGEA~3,#f06292
RB~MAGEA~4,#f06292
RB~MAGEA~5,#f06292
RB~MAGEA~6,#f06292
RB~MAGEA~7,#f06292
RB~MAGEA~8,#f06292
RB~MAGEA~9,#f06292
RB~MAGEA~10,#f06292
RB~MAGEA~11,#f06292
RB~MAGEA~12,#f06292
RB~MAGEA~13,#f06292
RB~MAGEA~14,#f06292
RB~MAGEA~15,#f06292
RB~MAGEA~16,#f06292
RB~MAGEA~17,#f06292
RB~MAGEA~18,#f06292
RB~MAGEA~19,#f06292
RB~MAGEA~20,#f06292
RB~MAGEA~21,#f06292
DB~MAGEA~0,#00acc1
DB~MAGEA~1,#00acc1
DB~MAGEA~2,#00acc1
DB~MAGEA~3,#00acc1
DB~MAGEA~4,#00acc1
DB~MAGEA~5,#00acc1
DB~MAGEA~6,#00acc1
DB~MAGEA~7,#00acc1
DB~MAGEA~8,#00acc1
DB~MAGEA~9,#00acc1
DB~MAGEA~10,#00acc1
DB~MAGEA~11,#00acc1
DB~MAGEA~12,#00acc1
DB~MAGEA~13,#00acc1
DB~MAGEA~14,#00acc1
DB~MAGEA~15,#00acc1
DB~MAGEA~16,#00acc1
