chrom	start	end	n_isoforms	n_fsm
NC_073224.2	5631634	5640803	2	0
NC_073224.2	5665012	5681319	1	0
NC_073224.2	5714405	5722216	1	1
NC_073224.2	5750775	5762584	1	0
NC_073224.2	6288661	6294573	1	0
NC_073224.2	6648351	6650665	1	0
NC_073224.2	6658102	6682535	1	0
NC_073224.2	6827732	6872011	3	0
NC_073224.2	7855087	7869164	1	0
NC_073224.2	7981588	8013443	1	0
NC_073224.2	8045548	8067319	1	0
NC_073224.2	8100422	8135027	3	0
NC_073224.2	8214578	8215082	1	0
NC_073224.2	8503957	8596710	2	0
NC_073224.2	8641705	8716156	3	0
NC_073224.2	8783438	8923925	4	0
NC_073224.2	9097848	9127149	1	0
NC_073224.2	9521620	9701213	1	0
NC_073224.2	9771277	9788282	2	0
NC_073224.2	10369719	10493095	3	0
NC_073224.2	10613957	10622191	1	0
NC_073224.2	10770062	10771908	1	0
NC_073224.2	10825485	11054369	8	0
NC_073224.2	11611546	11641070	1	0
NC_073224.2	11772359	11955862	1	0
NC_073224.2	11968062	12341564	15	7
NC_073224.2	12370653	12375199	1	0
NC_073224.2	12379679	12406196	1	0
NC_073224.2	12977446	13416289	3	0
NC_073224.2	13581827	13582783	1	0
NC_073224.2	13642975	13898007	7	0
NC_073224.2	14663164	14675093	1	0
NC_073224.2	15570605	15580775	1	0
NC_073224.2	15584076	15593312	1	0
NC_073224.2	15604885	15606003	1	0
NC_073224.2	15614483	15619219	1	0
NC_073224.2	15677025	15699154	2	0
NC_073224.2	15783682	15915696	15	0
NC_073224.2	15917174	15917976	1	0
NC_073224.2	16003101	16041744	1	0
NC_073224.2	16086508	16089368	1	0
NC_073224.2	16119975	16128733	8	0
NC_073224.2	16254179	16278176	1	0
NC_073224.2	16350561	16357697	2	0
NC_073224.2	16372155	16387298	3	0
NC_073224.2	16928218	17029940	1	0
NC_073224.2	17605973	17612012	1	0
NC_073224.2	17720981	17787420	4	0
NC_073224.2	18609747	18647007	1	0
NC_073224.2	18791274	18796088	1	0
NC_073224.2	18930933	18982679	1	0
NC_073224.2	19016646	19035461	4	0
NC_073224.2	19086952	19090773	1	0
NC_073224.2	19116994	19122722	1	0
NC_073224.2	19122877	19144219	4	0
NC_073224.2	19225184	19243971	2	0
NC_073224.2	19323127	19324622	1	0
NC_073224.2	19324821	19330564	1	0
NC_073224.2	19330690	19352450	3	0
NC_073224.2	19420401	19431993	1	0
NC_073224.2	19477137	19499061	1	0
NC_073224.2	19585776	19586445	1	0
NC_073224.2	19629274	19702433	1	0
NC_073224.2	19968774	20047246	3	0
NC_073224.2	20047532	20048595	1	0
NC_073224.2	21127487	21305451	3	0
NC_073224.2	21623165	21678358	1	0
NC_073224.2	21683546	21711848	1	0
NC_073224.2	21712014	22055888	3	0
NC_073224.2	22056005	22113439	1	0
NC_073224.2	23184418	23212121	1	0
NC_073224.2	23994048	24063787	1	0
NC_073224.2	24096217	24242800	10	0
NC_073224.2	24404308	24610064	6	0
NC_073224.2	24726136	24807230	1	0
NC_073224.2	24960926	25026749	1	0
NC_073224.2	25093020	25230913	2	0
NC_073224.2	25298113	25348413	1	0
NC_073224.2	25370340	25451743	3	0
NC_073224.2	25533739	25606740	1	0
NC_073224.2	25638880	25744770	2	0
NC_073224.2	25745714	25761005	1	0
NC_073224.2	26329038	26344062	1	0
NC_073224.2	26367450	26387706	1	0
NC_073224.2	26403691	26491354	1	0
NC_073224.2	26494872	26620487	1	0
NC_073224.2	26918277	26919967	1	0
NC_073224.2	27142013	27174318	1	0
NC_073224.2	28336669	28687895	1	0
NC_073224.2	28824079	28831060	1	0
NC_073224.2	29070804	29090914	1	0
NC_073224.2	29195079	29201548	1	0
NC_073224.2	29207105	29223399	1	0
NC_073224.2	29825260	30000804	3	0
NC_073224.2	30001482	30038032	1	0
NC_073224.2	31210201	31440961	2	0
NC_073224.2	31811737	31828104	1	0
NC_073224.2	31916609	32015192	1	0
NC_073224.2	32533168	32545418	1	0
NC_073224.2	32554416	32766685	1	0
NC_073224.2	32811139	32919246	7	0
NC_073224.2	33021647	33035085	1	0
NC_073224.2	33553571	33613559	1	0
NC_073224.2	33614176	33648593	1	0
NC_073224.2	33716439	33836640	2	0
NC_073224.2	34092595	34228583	2	2
NC_073224.2	35800223	35802849	1	0
NC_073224.2	35920524	35945214	1	0
NC_073224.2	36081235	36151860	5	0
NC_073224.2	36179218	36227555	4	2
NC_073224.2	36229241	36273651	1	0
NC_073224.2	36376574	36570943	10	0
NC_073224.2	36674419	36708505	1	0
NC_073224.2	36804463	36935725	2	0
NC_073224.2	37282621	37288975	1	0
NC_073224.2	37590830	37694130	3	0
NC_073224.2	37798957	37930810	2	0
NC_073224.2	37972817	37980185	1	0
NC_073224.2	37980478	38098475	1	0
NC_073224.2	38287930	38474873	2	0
NC_073224.2	38984703	38990294	2	0
NC_073224.2	39299549	39372466	4	0
NC_073224.2	39934026	39959875	2	0
NC_073224.2	39960474	39975199	1	0
NC_073224.2	39982276	39985876	1	0
NC_073224.2	39997540	40004544	1	0
NC_073224.2	40004780	40050807	3	0
NC_073224.2	40055962	40261057	4	0
NC_073224.2	40627172	40740104	2	0
NC_073224.2	40955496	40985142	1	0
NC_073224.2	41117643	41125491	1	0
NC_073224.2	41195766	41220962	1	0
NC_073224.2	41246939	41248238	1	0
NC_073224.2	41359200	41394746	1	0
NC_073224.2	41576752	41735746	4	0
NC_073224.2	41988524	41991650	1	0
NC_073224.2	42451736	42465495	1	0
NC_073224.2	42472614	42504910	1	0
NC_073224.2	42521012	42528971	1	0
NC_073224.2	43415820	43416788	1	0
NC_073224.2	43538305	43766715	10	1
NC_073224.2	43799917	43824349	1	0
NC_073224.2	43958427	44079609	3	1
NC_073224.2	44372240	44376038	1	0
NC_073224.2	44779863	44875117	2	0
NC_073224.2	44925711	45068005	4	2
NC_073224.2	45139090	45140502	1	0
NC_073224.2	45359939	45379775	1	0
NC_073224.2	45391103	45437379	1	0
NC_073224.2	45447677	45505356	7	2
NC_073224.2	46083998	46453042	2	0
NC_073224.2	46617121	46844555	2	0
NC_073224.2	46924499	46991090	3	0
NC_073224.2	47034560	47090121	1	0
NC_073224.2	47122046	47162092	5	2
NC_073224.2	47452071	47458647	1	0
NC_073224.2	47517162	47522208	1	0
NC_073224.2	48674649	48698664	1	0
NC_073224.2	48845443	48896379	2	0
NC_073224.2	48907971	49025886	35	1
NC_073224.2	49396657	49436270	2	2
NC_073224.2	49675565	49703469	4	0
NC_073224.2	49815917	49827984	1	0
NC_073224.2	50051281	50073136	1	0
NC_073224.2	50145800	50179838	8	0
NC_073224.2	50264049	50290171	2	0
NC_073224.2	50296208	50554143	5	0
NC_073224.2	50978475	50985436	1	0
NC_073224.2	51031969	51070731	2	0
NC_073224.2	51070811	51093425	1	0
NC_073224.2	51147705	51181861	3	0
NC_073224.2	51217991	51227776	1	0
NC_073224.2	51295423	51355785	1	0
NC_073224.2	51395383	51416439	1	0
NC_073224.2	51427237	51431149	1	0
