gene_a	gene_b	in_er_raw	in_er_refined	in_dna_loose	in_ep	ep_tier	id	min_cov	class
AARSD1	LOC134757996	0	0	1	0	none	0.934	0.237	FN
ABCA10	ABCA13	1	0	0	0	none			not-er
ABCA10	ABCA8	1	1	0	1	tier1			truthbar-FP
ABCA10	ABCA9	1	1	0	1	tier1			truthbar-FP
ABCA10	ACADL	1	0	0	0	none			not-er
ABCA10	ACOT9	1	0	0	0	none			not-er
ABCA10	AK5	1	0	0	0	none			not-er
ABCA10	AKR1C3	1	0	0	0	none			not-er
ABCA10	ALB	1	0	0	0	none			not-er
ABCA10	AMY2A	1	0	0	0	none			not-er
ABCA10	APOL2	1	0	0	0	none			not-er
ABCA10	APOL3	1	0	0	0	none			not-er
ABCA10	APOL4	1	0	0	0	none			not-er
ABCA10	AVEN	1	0	0	0	none			not-er
ABCA10	C3H4orf36	1	0	0	0	none			not-er
ABCA10	C7H8orf33	1	0	0	0	none			not-er
ABCA10	C9H11orf65	1	0	0	0	none			not-er
ABCA10	CASP3	1	0	0	0	none			not-er
ABCA10	CCDC152	1	0	0	0	none			not-er
ABCA10	CCDC92	1	0	0	0	none			not-er
ABCA10	CGREF1	1	0	0	0	none			not-er
ABCA10	CKLF	1	0	0	0	none			not-er
ABCA10	CLMP	1	0	0	0	none			not-er
ABCA10	CNIH1	1	0	0	0	none			not-er
ABCA10	COPS9	1	0	0	0	none			not-er
ABCA10	DCAF16	1	0	0	0	none			not-er
ABCA10	DCP1B	1	0	0	0	none			not-er
ABCA10	DEXI	1	0	0	0	none			not-er
ABCA10	DLD	1	0	0	0	none			not-er
ABCA10	DOCK1	1	0	0	0	none			not-er
ABCA10	EEF1A1	1	0	0	0	none			not-er
ABCA10	EPPIN	1	0	0	0	none			not-er
ABCA10	FAM228B	1	0	0	0	none			not-er
ABCA10	FBP2	1	0	0	0	none			not-er
ABCA10	FGD3	1	0	0	0	none			not-er
ABCA10	FRK	1	0	0	0	none			not-er
ABCA10	GBP2	1	0	0	0	none			not-er
ABCA10	GBP3	1	0	0	0	none			not-er
ABCA10	GBP4	1	0	0	0	none			not-er
ABCA10	GBP5	1	0	0	0	none			not-er
ABCA10	GBP6	1	0	0	0	none			not-er
ABCA10	GGCT	1	0	0	0	none			not-er
ABCA10	GIMAP4	1	0	0	0	none			not-er
ABCA10	GSTM2	1	0	0	0	none			not-er
ABCA10	HIVEP1	1	0	0	0	none			not-er
ABCA10	HPCAL1	1	0	0	0	none			not-er
ABCA10	HPCAL4	1	0	0	0	none			not-er
ABCA10	HRH1	1	0	0	0	none			not-er
ABCA10	IL20RB	1	0	0	0	none			not-er
ABCA10	IQUB	1	0	0	0	none			not-er
ABCA10	ITSN1	1	0	0	0	none			not-er
ABCA10	KCNIP1	1	0	0	0	none			not-er
