gene_a	gene_b	block_ident	concentration	total_frac	ident_disp
ABCA10	ABCA8	0.0000	0.0000	0.0000	0.0000
ABCA10	ABCA9	0.0000	0.0000	0.0000	0.0000
ABCA13	ITSN1	0.9451	1.0000	0.1400	0.0350
ABCA13	LOC101150644	0.0000	0.0000	0.0000	0.0000
ABCA13	LOC129532904	0.0000	0.0000	0.0000	0.0000
ABCA8	ABCA9	0.9119	1.0000	0.1727	0.0492
ABCD1	LOC129526391	0.9281	1.0000	0.8100	0.0313
ABCD1	LOC129526471	0.9270	1.0000	0.8083	0.0318
ABCD1	LOC129531453	0.9216	1.0000	0.8056	0.0361
ABITRAM	CTNNAL1	1.0000	1.0000	0.7599	0.0000
ACADL	C3H4orf36	0.0000	0.0000	0.0000	0.0000
ACADL	SPC25	0.0000	0.0000	0.0000	0.0000
ACAT2	TCP1	1.0000	1.0000	0.1576	0.0000
ACO2	POLR3H	0.0000	0.0000	0.0000	0.0000
ACOT6	CDKN2AIPNL	0.0000	0.0000	0.0000	0.0000
ACOT9	LOC129525165	0.0000	0.0000	0.0000	0.0000
ACP1	ALKAL2	1.0000	1.0000	0.8617	0.0000
ACSBG1	IDH3A	1.0000	1.0000	0.5130	0.0000
ACSL3	ACSL4	0.0000	0.0000	0.0000	0.0000
ACSM1	LOC129528956	0.8092	1.0000	0.9663	0.2315
ACTA2	ACTB	0.0000	0.0000	0.0000	0.0000
ACTA2	ACTG1	0.0000	0.0000	0.0000	0.0000
ACTB	ACTG1	0.9175	1.0000	0.5257	0.0437
ACTL6A	MRPL47	1.0000	1.0000	0.4274	0.0000
ACTN1	ACTN3	0.0000	0.0000	0.0000	0.0000
ACTN1	ACTN4	0.8346	1.0000	0.5804	0.0811
ACTN3	ACTN4	0.0000	0.0000	0.0000	0.0000
ADA	PKIG	1.0000	1.0000	0.2136	0.0000
ADAM29	LOC101154164	0.0000	0.0000	0.0000	0.0000
ADAT1	LOC109026802	0.0000	0.0000	0.0000	0.0000
ADGRF5	LOC109023105	0.9517	1.0000	0.9057	0.0285
ADH1B	LOC101136823	0.8822	1.0000	0.7835	0.1111
ADORA1	CHIT1	1.0000	1.0000	0.4710	0.0000
AFG3L2	TUBB6	1.0000	1.0000	0.2391	0.0000
AK6	TAF9B	0.0000	0.0000	0.0000	0.0000
AKR1B10	LOC115935241	0.9626	1.0000	0.4203	0.0362
AKR7A2	LOC115933748	0.9189	1.0000	0.7337	0.0656
AKT1	AKT2	0.8360	1.0000	0.2889	0.0775
AKTIP	RBL2	1.0000	1.0000	0.3105	0.0000
ALB	AVEN	0.0000	0.0000	0.0000	0.0000
ALDH1B1	ALDH2	0.0000	0.0000	0.0000	0.0000
