gene_a	gene_b	dn_a	dn_b	cls	in_dna_loose	n_exon_a	n_exon_b	n_exon_min	stratum	both_single	core_recip	aln_frac	contain_ab	contain_ba	recip_contain	fold
ABCA10	ABCA8	DN_NC_073228.2_22763468_38	DN_NC_073228.2_23038330_39	truthbar	0	38	39	38	multi	0	0.1809	0.0000	0.0000	0.0000	0.0000	1
ABCA10	ABCA9	DN_NC_073228.2_22763468_38	DN_NC_073228.2_22930246_39	truthbar	0	38	39	38	multi	0	0.3553	0.0000	0.0000	0.0000	0.0000	1
ABCA13	ITSN1	DN_NC_073230.2_56036026_15	DN_NC_073246.2_35769268_8	genuine	0	15	8	8	multi	0	0.1409	0.1400	0.0667	0.1250	0.0667	3
ABCA13	LOC101150644	DN_NC_073230.2_56036026_15	DN_NC_073233.2_11450665_3	genuine	0	15	3	3	multi	0	0.1360	0.0000	0.0000	0.0000	0.0000	3
ABCA13	LOC129532904	DN_NC_073227.2_36265860_3	DN_NC_073230.2_56036026_15	genuine	0	3	15	3	multi	0	0.1346	0.0000	0.0000	0.0000	0.0000	3
ABCA8	ABCA9	DN_NC_073228.2_22930246_39	DN_NC_073228.2_23038330_39	truthbar	0	39	39	39	multi	0	0.4182	0.1727	0.2308	0.2308	0.2308	1
ABCD1	LOC129526391	DN_NC_073236.2_25270756_7	DN_NC_073247.2_165410205_10	TP	1	7	10	7	multi	0	0.4426	0.8100	0.4286	0.3000	0.3000	2
ABCD1	LOC129526471	DN_NC_073236.2_22701854_7	DN_NC_073247.2_165410205_10	TP	1	7	10	7	multi	0	0.3255	0.8083	0.4286	0.3000	0.3000	2
ABCD1	LOC129531453	DN_NC_073240.2_15970659_7	DN_NC_073247.2_165410205_10	TP	1	7	10	7	multi	0	0.3224	0.8056	0.4286	0.3000	0.3000	2
ABITRAM	CTNNAL1	DN_NC_073237.2_105179643_6	DN_NC_073237.2_105184979_19	genuine	0	6	19	6	multi	0	0.7593	0.7599	0.1667	0.0526	0.0526	1
ACADL	C3H4orf36	DN_NC_073227.2_107202270_4	DN_NC_073235.2_112807340_11	genuine	0	4	11	4	multi	0	0.2241	0.0000	0.0000	0.0000	0.0000	0
ACADL	SPC25	DN_NC_073235.2_112807340_11	DN_NC_073235.2_71373985_7	genuine	0	11	7	7	multi	0	0.1610	0.0000	0.0000	0.0000	0.0000	0
ACAT2	TCP1	DN_NC_073229.2_183992530_9	DN_NC_073229.2_184008587_12	genuine	0	9	12	9	multi	0	0.1573	0.1576	0.0000	0.0833	0.0000	3
ACO2	POLR3H	DN_NC_086018.1_39469630_18	DN_NC_086018.1_39525778_6	genuine	0	18	6	6	multi	0	0.2132	0.0000	0.0000	0.0000	0.0000	1
ACOT6	CDKN2AIPNL	DN_NC_073228.2_138307166_3	DN_NC_073239.2_90471291_2	genuine	0	3	2	2	multi	0	0.1320	0.0000	0.0000	0.0000	0.0000	1
ACOT9	LOC129525165	DN_NC_073232.2_145623155_3	DN_NC_073247.2_34199522_16	genuine	0	2	16	2	multi	0	0.1880	0.0000	0.0000	0.0000	0.0000	1
ACP1	ALKAL2	DN_NC_073236.2_139618373_5	DN_NC_073236.2_139624268_6	genuine	0	5	6	5	multi	0	0.8616	0.8616	0.2000	0.0000	0.0000	1
ACSBG1	IDH3A	DN_NC_073240.2_79048326_11	DN_NC_073240.2_79068535_14	TP	1	11	14	11	multi	0	0.5137	0.5130	0.0909	0.0714	0.0714	4
ACSL3	ACSL4	DN_NC_073235.2_125539339_16	DN_NC_073247.2_121395319_16	truthbar	0	16	16	16	multi	0	0.1790	0.0000	0.0000	0.0000	0.0000	3
ACSM1	LOC129528956	DN_NC_073242.2_20304889_2	DN_NC_073244.2_28133171_2	genuine	0	2	2	2	multi	0	0.1515	0.9663	0.5000	0.5000	0.5000	3
ACTA2	ACTB	DN_NC_073230.2_12962256_6	DN_NC_073232.2_101260375_9	truthbar	0	6	9	6	multi	0	0.6390	0.0000	0.0000	0.0000	0.0000	1
ACTA2	ACTG1	DN_NC_073228.2_10434405_6	DN_NC_073232.2_101260375_9	truthbar	0	6	9	6	multi	0	0.6350	0.0000	0.0000	0.0000	0.0000	1
ACTB	ACTG1	DN_NC_073228.2_10434405_6	DN_NC_073230.2_12962256_6	TP	1	6	6	6	multi	0	0.5384	0.5257	0.6667	0.6667	0.6667	1
ACTL6A	MRPL47	DN_NC_086017.1_190656695_14	DN_NC_086017.1_190680196_7	genuine	0	14	7	7	multi	0	0.4282	0.4274	0.0714	0.0000	0.0000	3
ACTN1	ACTN3	DN_NC_073233.2_74467231_21	DN_NC_073239.2_85769342_21	truthbar	0	21	21	21	multi	0	0.3588	0.0000	0.0000	0.0000	0.0000	3
ACTN1	ACTN4	DN_NC_073239.2_85769342_21	DN_NC_073244.2_50412691_21	truthbar	0	21	21	21	multi	0	0.6757	0.5804	0.8571	0.8571	0.8571	3
ACTN3	ACTN4	DN_NC_073233.2_74467231_21	DN_NC_073244.2_50412691_21	truthbar	0	21	21	21	multi	0	0.7921	0.0000	0.0000	0.0000	0.0000	3
ADA	PKIG	DN_NC_073245.2_56763975_4	DN_NC_073245.2_56852545_12	genuine	0	4	12	4	multi	0	0.2136	0.2136	0.0000	0.0833	0.0000	1
ADAM29	LOC101154164	DN_NC_073227.2_195911333_4	DN_NC_073239.2_87316371_2	truthbar	0	4	2	2	multi	0	0.3251	0.0000	0.0000	0.0000	0.0000	3
ADAT1	LOC109026802	DN_NC_073228.2_185199640_2	DN_NC_073242.2_106088342_11	genuine	0	2	11	2	multi	0	0.2491	0.0000	0.0000	0.0000	0.0000	1
ADGRF5	LOC109023105	DN_NC_073229.2_64639535_22	DN_NC_073238.2_32078126_7	genuine	0	22	7	7	multi	0	0.2208	0.9057	0.2273	0.7143	0.2273	3
ADH1B	LOC101136823	DN_NC_073227.2_119617950_9	DN_NC_073227.2_119647764_9	TP	1	9	9	9	multi	0	0.3518	0.7835	0.8889	0.8889	0.8889	0
ADORA1	CHIT1	DN_NC_073224.2_53524414_11	DN_NC_073224.2_53535059_3	genuine	0	11	3	3	multi	0	0.4714	0.4710	0.0909	0.0000	0.0000	3
AFG3L2	TUBB6	DN_NC_073241.2_37890028_17	DN_NC_073241.2_37935842_4	genuine	0	17	4	4	multi	0	0.2395	0.2391	0.0588	0.0000	0.0000	1
AK6	TAF9B	DN_NC_073243.2_40875168_3	DN_NC_073247.2_89808941_7	genuine	0	3	7	3	multi	0	0.3182	0.0000	0.0000	0.0000	0.0000	1
AKR1B10	LOC115935241	DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	TP	1	10	10	10	multi	0	0.4206	0.4203	0.8000	0.9000	0.8000	3
AKR7A2	LOC115933748	DN_NC_073224.2_220588830_7	DN_NC_073224.2_220611411_7	TP	1	7	7	7	multi	0	0.7366	0.7337	0.8571	0.7143	0.7143	3
AKT1	AKT2	DN_NC_073239.2_121772610_13	DN_NC_073244.2_51984253_14	truthbar	0	13	14	13	multi	0	0.2018	0.2889	0.6154	0.5714	0.5714	1
AKTIP	RBL2	DN_NC_073242.2_82507839_22	DN_NC_073242.2_82560306_10	genuine	0	22	10	10	multi	0	0.3117	0.3105	0.0455	0.0000	0.0000	3
ALB	AVEN	DN_NC_073227.2_93560991_18	DN_NC_073240.2_34703303_6	genuine	0	18	6	6	multi	0	0.1543	0.0000	0.0000	0.0000	0.0000	1
ALDH1B1	ALDH2	DN_NC_073234.2_127179897_13	DN_NC_073237.2_24562366_2	truthbar	0	13	2	2	multi	0	0.4238	0.0000	0.0000	0.0000	0.0000	4
ALDH1B1	LOC115935842	DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562366_2	TP	1	2	2	2	multi	0	0.3444	1.0010	1.0000	1.0000	1.0000	4
ALDH1B1	LOC129524687	DN_NC_073237.2_24562360_2	DN_NC_073237.2_31692944_2	TP	1	2	2	2	multi	0	0.8829	1.0000	1.0000	1.0000	1.0000	4
ALDH1L1	ALDH1L2	DN_NC_073234.2_120456173_23	DN_NC_086017.1_136950625_23	truthbar	0	23	23	23	multi	0	0.5237	0.0000	0.0000	0.0000	0.0000	3
ALDH2	LOC129524687	DN_NC_073234.2_127179897_13	DN_NC_073237.2_31692944_2	truthbar	0	13	2	2	multi	0	0.2743	0.0000	0.0000	0.0000	0.0000	4
ALG1	LOC101139163	DN_NC_073242.2_8725127_13	DN_NC_086017.1_141278779_5	genuine	0	13	5	5	multi	0	0.1538	0.4459	0.0769	0.2000	0.0769	0
ALG1	LOC101152938	DN_NC_073233.2_75718276_6	DN_NC_073242.2_8725127_13	genuine	0	6	13	6	multi	0	0.1724	0.4199	0.0000	0.0769	0.0000	0
ALG10	ALG10B	DN_NC_073234.2_62953363_3	DN_NC_073234.2_67151860_3	TP	1	3	3	3	multi	0	0.5702	0.9802	1.0000	1.0000	1.0000	3
ALG1L1P	LOC101127338	DN_NC_086017.1_134833806_5	DN_NC_086017.1_136815000_6	genuine	0	5	6	5	multi	0	0.6561	1.1244	1.0000	1.0000	1.0000	1
AMN1	ETFBKMT	DN_NC_073234.2_69501458_7	DN_NC_073234.2_69557459_4	genuine	0	7	4	4	multi	0	0.6472	0.6468	0.1429	0.0000	0.0000	1
AMPD2	AMPD3	DN_NC_073224.2_130449319_18	DN_NC_073233.2_16844162_15	truthbar	0	18	15	15	multi	0	0.1647	0.0000	0.0000	0.0000	0.0000	1
AMY2A	ZNF888	DN_NC_073224.2_136262916_11	DN_NC_073244.2_64860608_4	genuine	0	11	4	4	multi	0	0.1698	0.0000	0.0000	0.0000	0.0000	4
AMZ2	LOC101129405	DN_NC_073228.2_23742950_7	DN_NC_073228.2_27022347_6	genuine	0	7	6	6	multi	0	0.1651	0.7199	0.1429	0.1667	0.1429	1
ANKRD18A	ANKRD18B	DN_NC_073237.2_24387014_11	DN_NC_073237.2_31481917_11	TP	1	11	11	11	multi	0	0.2528	0.8900	0.9091	1.0000	0.9091	4
ANKRD18A	LOC101142783	DN_NC_073237.2_24387014_11	DN_NC_073237.2_29418618_13	TP	1	11	13	11	multi	0	0.3383	0.9090	1.0000	0.8462	0.8462	4
ANKRD18A	LOC115933254	DN_NC_073236.2_32935295_3	DN_NC_073237.2_24387014_11	TP	1	3	11	3	multi	0	0.2170	0.5114	0.3333	0.0909	0.0909	4
ANKRD18B	LOC101142783	DN_NC_073237.2_29418618_13	DN_NC_073237.2_31481917_11	TP	1	13	11	11	multi	0	0.5768	0.6244	0.7692	1.0000	0.7692	4
ANKRD18B	LOC101147259	DN_NC_073237.2_31481917_11	DN_NC_073237.2_93516915_6	TP	1	11	6	6	multi	0	0.2605	0.5576	0.1818	0.3333	0.1818	4
ANKRD18B	LOC115933254	DN_NC_073236.2_32866582_11	DN_NC_073237.2_31481917_11	TP	1	11	11	11	multi	0	0.5644	0.9919	0.9091	1.0000	0.9091	4
ANKRD36C	LOC101125154	DN_NC_073236.2_33699714_3	DN_NC_073236.2_35163364_4	truthbar	0	3	4	3	multi	0	0.1925	0.8081	0.3333	0.2500	0.2500	1
ANKRD36C	LOC109025523	DN_NC_073236.2_33791336_41	DN_NC_073236.2_35320202_37	TP	1	41	37	37	multi	0	0.5033	0.5014	0.2439	0.2703	0.2439	1
ANKRD37	UFSP2	DN_NC_073227.2_206378182_5	DN_NC_073227.2_206379213_12	genuine	0	5	12	5	multi	0	0.2174	0.2174	0.2000	0.0000	0.0000	3
ANKRD6	LYRM2	DN_NC_073229.2_113642543_16	DN_NC_073229.2_113787300_3	genuine	0	16	3	3	multi	0	0.6194	0.6194	0.0625	0.0000	0.0000	1
ANKRD62	LOC109025523	DN_NC_073236.2_35320202_37	DN_NC_073241.2_38130293_13	genuine	0	37	13	13	multi	0	0.2212	0.0000	0.0000	0.0000	0.0000	1
ANO1	ANO2	DN_NC_073233.2_78027084_24	DN_NC_073234.2_21213540_25	truthbar	0	24	25	24	multi	0	0.2128	0.0000	0.0000	0.0000	0.0000	4
ANO1	PRKAR2A	DN_NC_073233.2_78071205_2	DN_NC_086017.1_58705155_2	genuine	0	2	2	2	multi	0	0.1371	0.0000	0.0000	0.0000	0.0000	4
AP1B1	AP2B1	DN_NC_073228.2_57285795_22	DN_NC_086018.1_27357888_21	truthbar	0	22	21	21	multi	0	0.4286	0.0000	0.0000	0.0000	0.0000	1
AP1M1	AP1M2	DN_NC_073244.2_16606086_12	DN_NC_073244.2_22635247_12	truthbar	0	12	12	12	multi	0	0.3873	0.0000	0.0000	0.0000	0.0000	1
AP1S2	BDP1	DN_NC_073243.2_40339828_3	DN_NC_073247.2_26298821_5	genuine	0	3	5	3	multi	0	0.2271	0.2262	0.0000	0.6000	0.0000	1
AP2A1	AP2A2	DN_NC_073233.2_7370930_22	DN_NC_073244.2_59973129_7	truthbar	0	22	7	7	multi	0	0.2691	0.0000	0.0000	0.0000	0.0000	3
APBA2	APBA3	DN_NC_073240.2_29886021_14	DN_NC_073244.2_9529410_11	truthbar	0	14	11	11	multi	0	0.1630	0.0000	0.0000	0.0000	0.0000	1
APOBEC3C	APOBEC3D	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37016890_4	genuine	0	6	4	4	multi	0	0.2709	0.3080	0.3333	0.5000	0.3333	4
APOBEC3C	APOBEC3F	DN_NC_086018.1_37016890_4	DN_NC_086018.1_37043543_7	genuine	0	4	7	4	multi	0	0.3030	0.6780	0.7500	0.2857	0.2857	4
APOBEC3D	APOBEC3F	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37043543_7	TP	1	6	7	6	multi	0	0.3807	0.9775	0.8333	0.7143	0.7143	4
APOL2	APOL3	DN_NC_086018.1_34137538_4	DN_NC_086018.1_34223461_5	truthbar	0	4	5	4	multi	0	0.3708	0.3042	0.0000	0.0000	0.0000	3
APOL3	APOL4	DN_NC_086018.1_34137538_4	DN_NC_086018.1_34186611_4	truthbar	0	4	4	4	multi	0	0.2863	0.4186	0.0000	0.0000	0.0000	3
APOL4	LOC129527096	DN_NC_073240.2_41396094_2	DN_NC_086018.1_34186611_4	genuine	0	2	4	2	multi	0	0.2801	0.7764	0.5000	0.0000	0.0000	3
ARFGEF1	ARFGEF2	DN_NC_073231.2_53153474_12	DN_NC_073245.2_61178675_39	truthbar	0	12	39	12	multi	0	0.2362	0.0000	0.0000	0.0000	0.0000	3
ARHGEF39	CCDC107	DN_NC_073237.2_27307884_9	DN_NC_073237.2_27311993_5	genuine	0	9	5	5	multi	0	0.4694	0.4705	0.0000	0.2000	0.0000	3
ARHGEF4	SPATA13	DN_NC_073235.2_32368514_11	DN_NC_073238.2_38585508_10	genuine	0	11	10	10	multi	0	0.2424	0.0000	0.0000	0.0000	0.0000	1
ARID1A	ARID1B	DN_NC_073224.2_213161178_3	DN_NC_073229.2_181371301_3	truthbar	0	3	3	3	multi	0	0.2719	0.0000	0.0000	0.0000	0.0000	3
ARL17A	LOC101135168	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45710800_6	genuine	0	4	6	4	multi	0	0.5577	0.5577	0.2500	0.1667	0.1667	3
ARL17A	LOC115934626	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45948292_6	genuine	0	4	6	4	multi	0	0.4194	0.6153	0.2500	0.1667	0.1667	3
ARRB1	ARRB2	DN_NC_073233.2_83154693_15	DN_NC_073243.2_19834097_15	truthbar	0	15	15	15	multi	0	0.5264	0.0000	0.0000	0.0000	0.0000	3
ASB6	NTMT1	DN_NC_073237.2_126021216_4	DN_NC_073237.2_126029688_6	TP	1	4	6	4	multi	0	0.7080	0.7066	0.2500	0.0000	0.0000	2
ASNS	LOC129531864	DN_NC_073230.2_90977223_13	DN_NC_073236.2_31570340_7	genuine	0	13	7	7	multi	0	0.2269	0.2159	0.1538	0.1429	0.1429	1
ATP12A	ATP1A2	DN_NC_073224.2_96681549_23	DN_NC_073238.2_38964005_23	truthbar	0	23	23	23	multi	0	0.2964	0.0000	0.0000	0.0000	0.0000	3
ATP12A	ATP1A3	DN_NC_073238.2_38964005_23	DN_NC_073244.2_53573424_23	truthbar	0	23	23	23	multi	0	0.5263	0.0000	0.0000	0.0000	0.0000	3
ATP1A1	ATP1A2	DN_NC_073224.2_120787661_19	DN_NC_073224.2_96681549_23	truthbar	0	19	23	19	multi	0	0.5176	0.0000	0.0000	0.0000	0.0000	3
ATP1A1	ATP1A3	DN_NC_073224.2_120787661_19	DN_NC_073244.2_53573424_23	truthbar	0	19	23	19	multi	0	0.8895	0.0000	0.0000	0.0000	0.0000	3
ATP1A2	ATP1A3	DN_NC_073224.2_96681549_23	DN_NC_073244.2_53573424_23	truthbar	0	23	23	23	multi	0	0.4359	0.7730	0.8261	0.8261	0.8261	3
ATP2A1	ATP2A2	DN_NC_073234.2_125738330_13	DN_NC_073242.2_29733807_20	truthbar	0	13	20	13	multi	0	0.4375	0.0000	0.0000	0.0000	0.0000	1
