family_id	chrom	start	end	span	n_exon	n_reads	on_member	fp_flags	verdict
GWFAM0	chr1	99596	106051	6455	1	23	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM0	chr3	200999698	201006237	6539	1	17	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM1	chr1	114082	119464	5382	1	5	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM1	chr3	200988462	200995426	6964	1	21	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM2	chr1	205299	210575	5276	2	10	N	off_benchmark_family	DROP_FP
GWFAM2	chr1	223182448	223200360	17912	3	32	N	off_benchmark_family	DROP_FP
GWFAM2	chr10	38427016	38446919	19903	3	18	N	off_benchmark_family	DROP_FP
GWFAM2	chr4	122759854	122806793	46939	9	32	N	off_benchmark_family	DROP_FP
GWFAM3	chr1	16301045	16308734	7689	1	259	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM3	chr1	16532694	16543226	10532	1	134	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM4	chr1	16364571	16365914	1343	4	6	Y	-	KEEP
GWFAM4	chr1	16566464	16572011	5547	11	10	Y	-	KEEP
GWFAM5	chr1	16366615	16371994	5379	2	3	Y	low_read	DROP_FP
GWFAM5	chr1	16557115	16564128	7013	1	15	N	single_exon_off	REVIEW
GWFAM6	chr1	16379414	16387896	8482	1	42	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM6	chr1	16545145	16549430	4285	1	29	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM6	chr1	16549527	16552948	3421	1	13	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM7	chr1	103402594	103428476	25882	12	60	N	-	KEEP
GWFAM7	chr1	103464352	103468681	4329	1	6	Y	-	KEEP
GWFAM7	chr1	103494733	103505601	10868	2	4	Y	-	KEEP
GWFAM7	chr1	103589916	103594205	4289	1	6	N	single_exon_off	REVIEW
GWFAM7	chr1	103638241	103662911	24670	7	4	Y	-	KEEP
GWFAM7	chr1	103684050	103685738	1688	1	4	N	single_exon_off	REVIEW
GWFAM7	chr1	103732369	103737831	5462	1	13	N	single_exon_off	REVIEW
GWFAM7	chr1	103776787	103788021	11234	2	7	Y	-	KEEP
GWFAM8	chr1	103447010	103451665	4655	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM8	chr1	103525632	103527891	2259	1	3	N	low_read,off_benchmark_family,single_exon_off	DROP_FP
GWFAM9	chr1	103482264	103483937	1673	1	3	N	low_read,off_benchmark_family,single_exon_off	DROP_FP
GWFAM9	chr1	103565785	103569218	3433	1	12	N	off_benchmark_family,single_exon_off	DROP_FP
GWFAM9	chr1	103668608	103672211	3603	1	6	N	off_benchmark_family,single_exon_off	DROP_FP
