evidence_id	haplotype	probe_id	target	target_start	target_end	strand	identity	query_coverage	aligned_span	mapq
MAT_LOCUS_0	MAT	SRC_GOLGA2	chr13_mat_hsa9	126591215	126611466	+	0.9870	1.0000	20179	60
MAT_LOCUS_1	MAT	SRC_ITSN2	chr12_mat_hsa2a	120362391	120519831	-	0.9840	0.9999	157440	60
MAT_LOCUS_2	MAT	FAM_000	chr16_mat_hsa15	30193006	30196504	-	0.9318	0.9805	3261	20
MAT_LOCUS_3	MAT	FAM_000	chr16_mat_hsa15	25382942	25386447	-	0.9296	0.9856	3278	0
MAT_LOCUS_4	MAT	FAM_000	chr16_mat_hsa15	30460712	30464223	-	0.9291	0.9856	3278	0
MAT_LOCUS_5	MAT	FAM_000	chr16_mat_hsa15	24027618	24031155	+	0.9282	0.9982	3320	0
MAT_LOCUS_6	MAT	FAM_000	chr16_mat_hsa15	25173400	25176911	-	0.9282	0.9856	3278	0
MAT_LOCUS_7	MAT	FAM_000	chr16_mat_hsa15	31856304	31859848	+	0.9274	0.9982	3320	0
MAT_LOCUS_8	MAT	FAM_000	chr16_mat_hsa15	24110502	24114040	-	0.9258	0.9982	3320	0
MAT_LOCUS_9	MAT	FAM_000	chr16_mat_hsa15	103643326	103646754	-	0.9271	0.9666	3215	0
MAT_LOCUS_10	MAT	FAM_000	chr16_mat_hsa15	33869993	33873504	-	0.9258	0.9871	3283	0
MAT_LOCUS_11	MAT	FAM_000	chr16_mat_hsa15	101660608	101664010	+	0.9276	0.9666	3215	0
MAT_LOCUS_12	MAT	FAM_000	chr16_mat_hsa15	34015613	34019145	+	0.9241	0.9931	3303	0
MAT_LOCUS_13	MAT	FAM_000	chr16_mat_hsa15	32208982	32212528	+	0.9241	0.9931	3303	0
MAT_LOCUS_14	MAT	FAM_000	chr16_mat_hsa15	30106429	30109961	+	0.9235	0.9931	3303	0
MAT_LOCUS_15	MAT	FAM_000	chr16_mat_hsa15	30144082	30147614	-	0.9235	0.9931	3303	0
