qname	family	source	primary_copy	primary_AS	primary_MAPQ	n_tied	second_best_AS	gap_to_2nd	gap_pct_to_2nd	correct
FLNC_101133335	AMY	101133335	101133335	1426	60	1	NA	NA	NA	TRUE
FLNC_gene-AMY2A	AMY	gene-AMY2A	gene-AMY2A	1533	60	1	1341	192	12.5244618395303	TRUE
FLNC_gene-AMY2B	AMY	gene-AMY2B	gene-AMY2B	1522	60	1	1326	196	12.8777923784494	TRUE
FLNC_101150678	GOLGA8I	101150678	101150678	4758	60	3	4680	78	1.63934426229508	TRUE
FLNC_101151050	GOLGA8I	101151050	101151050	5239	60	1	4723	516	9.8492078640962	TRUE
FLNC_129527057	GOLGA8I	129527057	129527057	4766	60	3	4587	179	3.75577003776752	TRUE
FLNC_129527071	GOLGA8I	129527071	129527071	5360	60	1	4702	658	12.2761194029851	TRUE
FLNC_129527170	GOLGA8I	129527170	129527170	4685	60	1	4339	346	7.38527214514408	TRUE
FLNC_129527171	GOLGA8I	129527171	129527071	2509	0	2	2509	0	0	FALSE
FLNC_134757232	GOLGA8I	134757232	134757232	4464	60	1	3346	1118	25.0448028673835	TRUE
FLNC_115930779	GOLGA8NL	115930779	115930779	5090	60	1	4694	396	7.77996070726916	TRUE
FLNC_129527017	GOLGA8NL	129527017	129527017	2409	60	4	2374	35	1.45288501452885	TRUE
FLNC_129527175	GOLGA8NL	129527175	129527175	5274	60	1	4695	579	10.9783845278726	TRUE
FLNC_129527176	GOLGA8NL	129527176	129527176	2373	60	4	2338	35	1.47492625368732	TRUE
FLNC_134757233	GOLGA8NL	134757233	134757233	384	60	1	NA	NA	NA	TRUE
FLNC_134757307	GOLGA8NL	134757307	134757307	2587	60	2	2538	49	1.8940858136838	TRUE
FLNC_101133389	GOLGA6C	101133389	101133389	2079	60	1	NA	NA	NA	TRUE
FLNC_101139171	GOLGA6C	101139171	101139171	2240	60	1	2053	187	8.34821428571428	TRUE
FLNC_115930844	GOLGA6C	115930844	115930844	4838	60	1	NA	NA	NA	TRUE
FLNC_101132076	GAGE	101132076	101132076	589	60	1	336	253	42.9541595925297	TRUE
FLNC_101132445	GAGE	101132445	101132445	529	4	4	523	6	1.13421550094518	TRUE
FLNC_129529765	GAGE	129529765	129529775	521	1	10	521	0	0	FALSE
FLNC_129529767	GAGE	129529767	129529767	521	0	10	521	0	0	TRUE
FLNC_129529768	GAGE	129529768	129529807	517	1	10	517	0	0	FALSE
FLNC_129529769	GAGE	129529769	129529769	517	0	10	517	0	0	TRUE
FLNC_129529770	GAGE	129529770	129529770	537	60	2	513	24	4.46927374301676	TRUE
FLNC_129529771	GAGE	129529771	129529771	523	0	4	523	0	0	TRUE
FLNC_129529773	GAGE	129529773	129529773	523	46	5	518	5	0.956022944550669	TRUE
FLNC_129529774	GAGE	129529774	129529768	517	0	10	517	0	0	FALSE
FLNC_129529775	GAGE	129529775	129529775	523	52	10	518	5	0.956022944550669	TRUE
FLNC_129529807	GAGE	129529807	129529807	608	60	1	426	182	29.9342105263158	TRUE
