family_id	seed_tid	tid	chrom	start	end	n_exon	strand	n_reads	identity	coverage
GWFAM80	DN_NC_073229.2_44451307_4	SE_NC_073229.2_44402484_4	NC_073229.2	44402484	44412589	4	+	2	1.0000	0.9976
GWFAM126	DN_NC_073242.2_35624699_9	SE_NC_073242.2_35298120_9	NC_073242.2	35298120	35364392	9	-	1	1.0000	0.9954
GWFAM247	DN_NC_073247.2_114140053_23	SE_NC_073247.2_114041731_23	NC_073247.2	114041731	114106256	23	+	1	0.9975	0.9916
GWFAM93	DN_NC_073230.2_86257460_21	SE_NC_073230.2_86149240_21	NC_073230.2	86149240	86292176	21	-	2	0.9895	0.9980
GWFAM242	DN_NC_073247.2_62249491_13	SE_NC_073247.2_62361058_13	NC_073247.2	62361058	62368506	13	+	2	0.9938	0.9934
GWFAM258	DN_NC_073248.2_34839953_6	SE_NC_073248.2_34736504_6	NC_073248.2	34736504	34739253	6	-	1	0.9857	0.9991
GWFAM245	DN_NC_073247.2_84611047_7	SE_NC_073247.2_84544129_7	NC_073247.2	84544129	84586429	7	+	2	1.0000	0.9795
GWFAM174	DN_NC_073237.2_109461618_3	SE_NC_073237.2_109453321_3	NC_073237.2	109453321	109460094	3	-	1	0.9889	0.9902
GWFAM258	DN_NC_073248.2_34819290_6	SE_NC_073248.2_34757175_6	NC_073248.2	34757175	34759904	6	-	2	1.0000	0.9774
GWFAM247	DN_NC_073247.2_114041708_23	SE_NC_073247.2_114140055_23	NC_073247.2	114140055	114204695	23	-	2	0.9850	0.9912
GWFAM83	DN_NC_073229.2_49583457_41	SE_NC_073229.2_49609918_41	NC_073229.2	49609918	49624154	41	+	1	0.9769	0.9983
GWFAM147	DN_NC_073235.2_144819833_8	SE_NC_073242.2_3677891_8	NC_073242.2	3677891	3681175	8	-	2	0.9905	0.9841
GWFAM258	DN_NC_073248.2_34819290_6	SE_NC_073248.2_34798631_6	NC_073248.2	34798631	34801358	6	-	1	0.9926	0.9764
GWFAM187	DN_NC_073239.2_35520653_9	SE_NC_073239.2_35396951_9	NC_073239.2	35396951	35468587	9	+	1	0.9942	0.9731
GWFAM242	DN_NC_073247.2_62361058_13	SE_NC_073247.2_62249491_13	NC_073247.2	62249491	62256960	13	-	1	0.9746	0.9865
GWFAM194	DN_NC_073240.2_24008963_23	SE_NC_073240.2_21430404_23	NC_073240.2	21430404	21470967	23	+	1	0.9772	0.9838
GWFAM252	DN_NC_073247.2_161266102_3	SE_NC_073247.2_161441989_4	NC_073247.2	161441989	161449441	4	+	1	0.9859	0.9736
GWFAM92	DN_NC_073230.2_13359013_21	SE_NC_073230.2_14200445_21	NC_073230.2	14200445	14244918	21	+	1	0.9709	0.9886
GWFAM187	DN_NC_073239.2_35396928_9	SE_NC_073239.2_35520684_8	NC_073239.2	35520684	35581003	8	+	1	0.9707	0.9877
GWFAM72	DN_NC_073228.2_164078225_3	SE_NC_073228.2_164078225_4	NC_073228.2	164078225	164139335	4	-	1	1.0000	0.9581
GWFAM46	DN_NC_073236.2_140396858_2	SE_NC_073233.2_5828682_2	NC_073233.2	5828682	5831770	2	+	1	0.9679	0.9887
GWFAM194	DN_NC_073240.2_21430323_23	SE_NC_073240.2_24008966_23	NC_073240.2	24008966	24049490	23	-	1	0.9772	0.9754
GWFAM190	DN_NC_073239.2_122741456_4	SE_NC_073239.2_122741462_5	NC_073239.2	122741462	122920232	5	-	1	1.0000	0.9521
GWFAM93	DN_NC_073230.2_86128997_5	SE_NC_073230.2_86237218_5	NC_073230.2	86237218	86247750	5	-	2	0.9679	0.9820
GWFAM210	DN_NC_073242.2_26889052_8	SE_NC_073242.2_27178722_8	NC_073242.2	27178722	27222349	8	-	2	0.9682	0.9814
GWFAM248	DN_NC_073247.2_131863977_4	SE_NC_073247.2_131774354_4	NC_073247.2	131774354	131781309	4	-	1	0.9956	0.9543
GWFAM56	DN_NC_073228.2_56462421_14	SE_NC_073228.2_54400031_14	NC_073228.2	54400031	54411025	14	-	2	0.9804	0.9689
GWFAM32	DN_NC_073242.2_32258504_8	SE_NC_073242.2_32495364_9	NC_073242.2	32495364	32531671	9	-	2	0.9722	0.9769
GWFAM47	DN_NC_073227.2_211418822_2	SE_NC_073227.2_211600246_2	NC_073227.2	211600246	211614717	2	+	1	0.9647	0.9834
GWFAM177	DN_NC_073238.2_32266748_7	SE_NC_073238.2_33425477_8	NC_073238.2	33425477	33511623	8	-	2	0.9547	0.9927
GWFAM181	DN_NC_073238.2_33853352_3	SE_NC_073240.2_20803101_3	NC_073240.2	20803101	20810534	3	+	1	0.9499	0.9977
GWFAM151	DN_NC_073238.2_22875931_6	SE_NC_073236.2_21265378_6	NC_073236.2	21265378	21342125	6	-	1	0.9678	0.9777
GWFAM251	DN_NC_073247.2_161251228_4	SE_NC_073247.2_161459562_4	NC_073247.2	161459562	161464316	4	+	1	1.0000	0.9448
GWFAM170	DN_NC_073237.2_83893634_7	SE_NC_073237.2_84364262_8	NC_073237.2	84364262	84388341	8	-	1	0.9591	0.9836
GWFAM205	DN_NC_073242.2_15387798_13	SE_NC_073242.2_28528783_13	NC_073242.2	28528783	28548014	13	+	1	0.9438	0.9965
GWFAM28	DN_NC_073224.2_223443877_3	SE_NC_073224.2_223291700_3	NC_073224.2	223291700	223456049	3	+	1	1.0000	0.9395
GWFAM151	DN_NC_073238.2_22875931_6	SE_NC_073240.2_14397531_6	NC_073240.2	14397531	14474108	6	-	2	0.9624	0.9751
GWFAM49	DN_NC_073247.2_167707352_7	SE_NC_073231.2_151170139_7	NC_073231.2	151170139	151185962	7	-	1	0.9458	0.9908
GWFAM178	DN_NC_073238.2_30171533_2	SE_NC_073238.2_33197456_2	NC_073238.2	33197456	33228323	2	+	1	0.9413	0.9953
GWFAM204	DN_NC_073242.2_15316071_12	SE_NC_073242.2_28555688_12	NC_073242.2	28555688	28619629	12	+	2	0.9401	0.9934
GWFAM251	DN_NC_073247.2_161458548_3	SE_NC_073247.2_161251228_2	NC_073247.2	161251228	161256981	2	-	2	0.9506	0.9823
GWFAM257	DN_NC_073248.2_19671639_11	SE_NC_073248.2_19648671_11	NC_073248.2	19648671	19662518	11	-	1	0.9389	0.9945
GWFAM195	DN_NC_073240.2_21546862_14	SE_NC_073240.2_23219754_15	NC_073240.2	23219754	23274570	15	+	2	0.9387	0.9936
GWFAM222	DN_NC_086017.1_209174439_6	SE_NC_086017.1_209174440_7	NC_086017.1	209174440	209212633	7	-	1	0.9887	0.9432
GWFAM177	DN_NC_073240.2_24402646_2	SE_NC_073240.2_21201978_2	NC_073240.2	21201978	21234501	2	+	1	0.9701	0.9610
GWFAM171	DN_NC_073237.2_84341528_8	SE_NC_073237.2_83935273_8	NC_073237.2	83935273	83940513	8	+	1	0.9399	0.9915
GWFAM180	DN_NC_073238.2_32460881_5	SE_NC_073238.2_30078508_5	NC_073238.2	30078508	30107912	5	+	1	0.9496	0.9813
GWFAM135	DN_NC_073242.2_28854512_28	SE_NC_073244.2_20936585_27	NC_073244.2	20936585	20998840	27	-	1	0.9789	0.9498
GWFAM45	DN_NC_073238.2_24693721_8	SE_NC_073240.2_14911192_8	NC_073240.2	14911192	14933374	8	-	1	0.9442	0.9847
GWFAM254	DN_NC_073247.2_164426194_3	SE_NC_073247.2_164397085_4	NC_073247.2	164397085	164401084	4	+	1	0.9538	0.9747
GWFAM11	DN_NC_073224.2_101602474_9	SE_NC_073224.2_101594000_10	NC_073224.2	101594000	101607689	10	+	2	1.0000	0.9293
GWFAM172	DN_NC_073237.2_84204483_4	SE_NC_073237.2_84005225_4	NC_073237.2	84005225	84078830	4	-	1	0.9415	0.9869
GWFAM49	DN_NC_073231.2_151170138_9	SE_NC_073247.2_167707335_9	NC_073247.2	167707335	167723151	9	-	1	0.9482	0.9788
