family	gene	cls	chrom	start	end	size	is_pseudoreplicate	K_read	med_depth	expected_CN	sedef_div	sedef_ident	n_read_psv	mean_phi	n_sedef_pairs	n_distinct_partners	cached_partner_regions	collapsed_excess
1	LOC109025447	no_psv	NC_073236.2	46642885	46675998	33113	False	2	656	6	0.0295631	0.971012	74	0.868	5	5	9	6
7	LOC129534585	no_psv	NC_073224.2	19235747	19243971	8224	False	1	43	6	0.00860897	0.9914400000000001	23	0.843	10	5	100	6
11	LOC101130894	partial	NC_073230.2	86181068	86209484	28416	False	2	31	8	0.0165867	0.983595	33	0.879	9	7	37	2
14	LOC115930164	no_psv	NC_073224.2	223478280	223518280	40000	False	1	18	55	0.0827456	0.921656	163	0.884	75	54	138	3
21	LOC101141440	no_psv	NC_073232.2	92223069	92238799	15730	False	3	80	14	0.036657	0.964224	46	0.944	13	13	59	4
22	LOC115933254	partial	NC_073236.2	32986425	32990818	4393	False	3	131	12	0.101157	0.905368	96	0.917	11	11	50	5
32	LOC115934629	partial	NC_073228.2	45686842	45726842	40000	False	4	118	21	0.0994842	0.9068315	206	0.957	20	20	37	1
34	LOC115930538	no_psv	NC_073240.2	21107958	21147958	40000	False	3	35	38	0.155409	0.859636	101	0.794	37	37	203	7
62	LOC109023386	no_psv	NC_073240.2	24764672	24786557	21885	False	2	75	15	0.135015	0.87644	31	0.872	14	14	15	3
63	LOC129529986	no_psv	NC_073247.2	164381222	164384848	3626	False	3	992	6	0.215274	0.812866	252	0.878	7	5	9	1
69	LOC115932259	no_psv	NC_073247.2	131773856	131781439	7583	False	0	15	2	0.00805404	0.991989	0	0.0	1	1	2	1
75	CPLANE1	no_psv	NC_073243.2	82739824	82765535	25711	False	2	30	6	0.0196274	0.980627	4	0.827	5	5	6	2
93	LOC115932194	no_psv	NC_073247.2	62664032	62669073	5041	False	0	15	8	0.2483085	0.7886124999999999	0	0.0	8	7	11	1
95	LOC129529978	no_psv	NC_073247.2	164426194	164430228	4034	False	3	242	9	0.199485	0.824841	276	0.912	11	8	10	1
96	LOC129530275	no_psv	NC_073248.2	34736504	34739289	2785	False	0	4	11	0.0863631	0.9193315	0	0.0	16	10	9	2
122	LOC129530010	no_psv	NC_073247.2	84678651	84679545	894	False	0	41	2	0.00557225	0.994448	0	0.0	3	1	1	1
169	LOC101124683	no_psv	NC_073239.2	35465817	35469874	4057	False	0	898	19	0.06586065	0.9369485	0	0.0	18	18	18	1
170	LOC101124683	no_psv	NC_073239.2	35466171	35468601	2430	True	0	1019	19	0.06586065	0.9369485	0	0.0	18	18	18	1
175	UBE2Q2P16	no_psv	NC_073240.2	85821672	85861672	40000	False	3	192	22	0.0980462	0.908092	22	0.939	23	21	24	1
176	LOC115931067	no_psv	NC_073242.2	3790652	3791552	900	False	0	9	2	0.0847833	0.919833	0	0.0	2	1	1	1
191	LOC129530554	no_psv	NC_086018.1	1713296	1719732	6436	False	2	25	14	0.0522679	0.949512	22	0.9	13	13	14	1
