gene_id	name	chrom	start	end	strand	project_level1	project_level2	dishuck_group	dishuck_evidence	agreement	notes
GeneID:729978	NPIPB2	chr16	11963311	12012756	-	NPIPB	B2	paralog=B2; isoseq_group=B2; subfamily=NPIPB	p12 Fig1A label B2; p14 Fig3A bar B2 at 11.957 Mb (-7 kb); p13 Fig2B B2 fixed 1 copy	same	the only copy at 16p13.3
GeneID:642799	NPIPA2	chr16	14740934	14763869	+	NPIPA	A2/3	paralog=A2; isoseq_group=A2/3; subfamily=NPIPA	p12 Fig1A A2; p14 Fig3A bar A2 at 14.744 Mb (+3 kb); p14 Fig3B CHM13 track A2 (no A3 copy in CHM13)	same	A2/3 is a clade in p13 Fig2A; CHM13 has only its A2 member
GeneID:9284	NPIPA1	chr16	14938510	14953106	+	NPIPA	A1	paralog=A1; isoseq_group=A1; subfamily=NPIPA	p12 Fig1A A1; p14 Fig3A bar A1 at 14.936 Mb (-2 kb); p14 Fig3B A1	same	overlapped by readthrough PKD1P3-NPIPA1 (GeneID:109951030), same copy
GeneID:105369154	PKD1P6-NPIPP1	chr16	15105353	15141806	-	-	-	paralog=A4; isoseq_group=A4; subfamily=NPIPA	p12 Fig1A A4; p14 Fig3A bar A4 at 15.105 Mb (0 kb); p14 Fig3B A4; p6 text NPIPP1 = A4	not_in_truth	CHM13 RefSeq has no standalone NPIPP1 gene record, only this readthrough (transcribed_pseudogene); omitted by the NPIP* name filter; own Iso-Seq group A4 (p19 Fig6A)
GeneID:100288332	NPIPA5	chr16	15368420	15386444	-	NPIPA	A5	paralog=A5; isoseq_group=A5; subfamily=NPIPA	p12 Fig1A A5; p14 Fig3A bar A5 at 15.370 Mb (+2 kb); p14 Fig3B A5	same	
GeneID:131675794	NPIPA6	chr16	16340281	16359022	+	NPIPA	A6-9	paralog=A6; isoseq_group=A6-9; subfamily=NPIPA	p12 Fig1A A6; p14 Fig3A A6/A7 bar pair at 16.364 Mb; p14 Fig3C CHM13 track A6 (first of A6, A7/A8)	same	overlapped by LOC131696449 (PKD1P1-NPIPA5L readthrough), same copy
GeneID:101059938	NPIPA7	chr16	16391364	16406190	+	NPIPA	A6-9	paralog=A7/A8; isoseq_group=A6-9; subfamily=NPIPA	p12 Fig1A A7; p14 Fig3A A7 (bar pair at 16.364 Mb); p14 Fig3C CHM13 track A7/A8; p13 Fig2A tip A7/A8	renamed	joint paralog group A7/A8 (the paper cannot separate A7 from A8); group membership unchanged; {NPIPA7,NPIPA8} is a supported clade in 30/30 leave-out CHM13 intron trees
GeneID:101059953	NPIPA8	chr16	18325162	18343979	-	NPIPA	A6-9	paralog=A7/A8; isoseq_group=A6-9; subfamily=NPIPA	p12 Fig1A A8; p14 Fig3A bar A8 at 18.326 Mb (+1 kb); p14 Fig3C CHM13 track A7/A8 (before A9)	renamed	joint paralog group A7/A8; overlapped by PKD1P4-NPIPA8 readthrough (same copy)
GeneID:105376752	NPIPA9	chr16	18372372	18391116	-	NPIPA	A6-9	paralog=A9; isoseq_group=A6-9; subfamily=NPIPA	p12 Fig1A A9; p14 Fig3A bar A9 at 18.370 Mb (-3 kb); p14 Fig3C CHM13 track A9	same	overlapped by PKD1P5-LOC105376752 readthrough (same copy)
GeneID:23117	NPIPB3	chr16	21337400	21360419	-	NPIPB	B3-5	paralog=B5; isoseq_group=B3-5; subfamily=NPIPB	p12 Fig1A B5 (first of B5,B5 block, 341 kb spacing); p14 Fig3A bar B5 at 21.335 Mb (-2 kb); p14 Fig3E CHM13 track B5; p16 Fig4B B5 highlight at 21.34 Mb	renamed	RefSeq symbol B3 but Dishuck paralog B5 in every figure; group B3-5 unchanged; CHM13 has no phylogenetic B3 copy
GeneID:128966608	LOC128966608	chr16	21680686	21703416	-	-	-	paralog=B5; isoseq_group=B3-5; subfamily=NPIPB	p12 Fig1A B5 (second of B5,B5 block); p14 Fig3A bar B5 at 21.682 Mb (+2 kb); p14 Fig3E B5; p16 Fig4B B5 highlight at 21.69 Mb	not_in_truth	RefSeq description "NPIP family member B13-like" (transcribed pseudogene) but Dishuck B5; omitted by the NPIP* name filter; forms a supported clade with NPIPB3 in 30/30 leave-out intron trees
